#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
          10           1398.4916        2.72397        1247.1716        1.87535        1581.3611        3.95622       -10.82%     13.08%
          20           457.52061        1.26659        411.70163       0.925706        509.68797        1.82806       -10.01%     11.40%
          30           197.19559        1.09688        177.71038       0.789012        218.45412        1.61430        -9.88%     10.78%
          40           104.45089       0.599696        94.444373       0.437972        114.95446       0.966111        -9.58%     10.06%
          50           62.772258       0.603093        56.807039       0.435578        68.718646       0.871929        -9.50%      9.47%
          60           41.399530       0.391552        37.389895       0.285290        45.369682       0.562998        -9.69%      9.59%
          70           28.725688       0.351153        26.014167       0.253348        31.276112       0.509367        -9.44%      8.88%
          80           20.536176       0.305498        18.628400       0.220609        22.275064       0.441724        -9.29%      8.47%
          90           15.322500       0.312160        13.917750       0.222960        16.568039       0.455381        -9.17%      8.13%
         100           11.720465       0.261533        10.604198       0.185971        12.761724       0.389767        -9.52%      8.88%
         110           9.9475116       0.242578        8.8238178       0.171418        11.148054       0.344202       -11.30%     12.07%
         120           7.4791510       0.261317        6.7528458       0.186518        8.1466636       0.379798        -9.71%      8.92%
         130           5.6454535       0.202763        5.1463899       0.143977        6.0636245       0.294850        -8.84%      7.41%
         140           5.0386077       0.211042        4.5006057       0.149631        5.5753094       0.313968       -10.68%     10.65%
         150           3.9394184       0.189953        3.5731871       0.137051        4.2580448       0.277486        -9.30%      8.09%
         160           2.9608001       0.196281        2.7318596       0.140203        3.1047072       0.284743        -7.73%      4.86%
         170           2.7075665       0.153610        2.4538613       0.109555        2.9375939       0.224592        -9.37%      8.50%
         180           2.3503011       0.150115        2.1133213       0.107210        2.5786961       0.219433       -10.08%      9.72%
         190           1.9852743       0.118594        1.7867677      0.0847348        2.1786554       0.172515        -10.0%      9.74%
         200           1.7287401       0.117027        1.5520531      0.0836928        1.8921707       0.169571       -10.22%      9.45%
         210           1.6620442       0.209961        1.4659543       0.150852        1.8818041       0.306314       -11.80%     13.22%
         220           1.1189137       0.118871        1.0411145      0.0846470        1.1745708       0.172559        -6.95%      4.97%
         230           1.2842198       0.118487        1.1182387      0.0842169        1.4718899       0.172997       -12.92%     14.61%
         240           1.0677171       0.104662       0.94482036      0.0741341        1.1957821       0.153375       -11.51%     11.99%
         250          0.69511977      0.0942035       0.65279071      0.0676542       0.71510187       0.135598        -6.09%      2.87%
         260          0.88536285       0.101616       0.75674852      0.0718923        1.0427155       0.148884       -14.53%     17.77%
         270          0.67209126      0.0850252       0.60429721      0.0608579       0.74445766       0.122033       -10.09%     10.77%
         280          0.62783612      0.0795354       0.55229417      0.0568399       0.70918064       0.115511       -12.03%     12.96%
         290          0.44956504      0.0810386       0.41617829      0.0573754       0.47913887       0.116643        -7.43%      6.58%
         300          0.48409641      0.0740068       0.43306011      0.0523435       0.53618430       0.106337       -10.54%     10.76%
         310          0.30572174      0.0743428       0.27653871       0.108954       0.30949840      0.0535965        -9.55%      1.24%
         320          0.36098839      0.0807750       0.32163951      0.0577131       0.40342654       0.114229       -10.90%     11.76%
         330          0.32999058      0.0662254       0.29869666      0.0473596       0.35951989      0.0949341        -9.48%      8.95%
         340          0.31638459      0.0665270       0.27935551      0.0473442       0.35679662      0.0948840       -11.70%     12.77%
         350          0.21433895      0.0670420       0.20015503      0.0472834       0.22221896      0.0956922        -6.62%      3.68%
         360          0.19351059      0.0541098       0.18245757      0.0786198       0.19402910      0.0549178        -5.71%      0.27%
         370          0.30422735      0.0514850       0.26173173      0.0367034       0.35762879      0.0733475       -13.97%     17.55%
         380          0.17666536      0.0687895       0.16431386      0.0490942       0.18581822      0.0973829        -6.99%      5.18%
         390          0.19450636      0.0550508       0.17640229      0.0395752       0.21505575      0.0795645        -9.31%     10.56%
         400          0.19035899      0.0538196       0.16214175      0.0383858       0.22468041      0.0783485       -14.82%     18.03%
         410          0.11252388      0.0446821       0.10761282      0.0325236       0.11526847      0.0636657        -4.36%      2.44%
         420          0.17430162      0.0498554       0.14915253      0.0353163       0.20600666      0.0714135       -14.43%     18.19%
         430         0.079467857      0.0495350      0.068650613      0.0723204      0.081428020      0.0359258       -13.61%      2.47%
         440          0.11892846      0.0442203       0.10682504      0.0315562       0.13053734      0.0642292       -10.18%      9.76%
         450          0.10460478      0.0417690      0.091169348      0.0296406       0.12162251      0.0597130       -12.84%     16.27%
         460         0.080431314      0.0461100      0.070015982      0.0326178      0.093110507      0.0675103       -12.95%     15.76%
         470         0.099986524      0.0356952      0.091414514      0.0253662       0.10676911      0.0506120        -8.57%      6.78%
         480         0.071345053      0.0448837      0.067991480      0.0326594      0.073492393      0.0637917        -4.70%      3.01%
         490         0.096865381      0.0362165      0.084935877      0.0258160       0.10981559      0.0527022       -12.32%     13.37%
