#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
          -5           13.810001       0.753785        11.454858       0.531917        17.151331       0.990956       -17.05%     24.20%
        -4.9           36.769302        1.04608        30.399187       0.771336        44.779820        1.60367       -17.32%     21.79%
        -4.8           85.271100        1.80712        71.401832        1.27476        102.95887        2.74574       -16.26%     20.74%
        -4.7           180.44967        3.04424        151.55623        2.13828        216.98555        4.63320       -16.01%     20.25%
        -4.6           344.46705        4.09467        288.82172        2.89153        416.26976        6.17759       -16.15%     20.84%
        -4.5           570.82309        6.49923        480.86875        4.46031        687.17318        10.1182       -15.76%     20.38%
        -4.4           881.04426        8.74130        744.07841        6.13738        1057.4162        13.1950       -15.55%     20.02%
        -4.3           1283.3649        9.13809        1087.9362        6.42777        1532.0510        13.8579       -15.23%     19.38%
        -4.2           1735.7728        10.5890        1476.1733        7.42468        2063.2657        16.1071       -14.96%     18.87%
        -4.1           2294.1403        12.4209        1946.7025        8.65045        2736.3050        19.0132       -15.14%     19.27%
          -4           2851.9369        13.1518        2423.9568        10.5087        3388.4998        19.4132       -15.01%     18.81%
        -3.9           3482.8451        30.8057        2958.2599        20.7992        4150.0413        48.1314       -15.06%     19.16%
        -3.8           4024.5468        19.4034        3433.5144        13.4951        4765.5484        29.6308       -14.69%     18.41%
        -3.7           4598.5909        17.6797        3925.7342        12.3988        5441.0686        26.9110       -14.63%     18.32%
        -3.6           5160.8979        21.2820        4406.8032        14.7712        6106.1213        32.5923       -14.61%     18.32%
        -3.5           5688.4746        19.8086        4858.5520        13.8917        6728.1549        30.1142       -14.59%     18.28%
        -3.4           6189.4923        23.1440        5287.1827        16.1772        7321.0336        35.1892       -14.58%     18.28%
        -3.3           6611.2218        24.1729        5657.1144        16.9858        7801.5887        36.5295       -14.43%     18.01%
        -3.2           7055.0073        24.2634        6027.4927        17.0461        8345.4049        36.7810       -14.56%     18.29%
        -3.1           7381.3301        20.3547        6315.0972        14.4108        8714.7418        30.7015       -14.44%     18.06%
          -3           7688.4681        28.2468        6578.4883        19.4558        9077.7563        43.5404       -14.44%     18.07%
        -2.9           7925.6979        24.8250        6790.4264        17.3172        9339.7748        37.8715       -14.32%     17.84%
        -2.8           8079.7222        25.3961        6929.8691        18.0394        9508.0893        37.9561       -14.23%     17.68%
        -2.7           8268.0152        22.8744        7097.3559        16.2113        9718.2490        34.3912       -14.16%     17.54%
        -2.6           8370.0096        25.5440        7191.4042        18.3260        9827.7247        37.6343       -14.08%     17.42%
        -2.5           8522.6920        24.5794        7319.8449        17.3271        10013.887        37.0209       -14.11%     17.50%
        -2.4           8596.9149        24.1994        7389.2711        16.9023        10092.348        36.9252       -14.05%     17.39%
        -2.3           8677.9453        23.3668        7461.2463        16.5893        10183.221        35.0982       -14.02%     17.35%
        -2.2           8740.6350        23.7766        7515.7843        16.8024        10256.579        35.8003       -14.01%     17.34%
        -2.1           8767.8269        31.8096        7547.4911        22.2014        10273.597        48.1975       -13.92%     17.17%
          -2           8745.7378        25.7855        7539.6945        18.3066        10225.673        38.5666       -13.79%     16.92%
        -1.9           8724.6647        31.6747        7530.0122        21.7592        10186.214        49.0416       -13.69%     16.75%
        -1.8           8830.1994        31.4931        7603.4571        21.8383        10347.392        48.1987       -13.89%     17.18%
        -1.7           8806.0112        32.3984        7591.8365        23.0895        10300.684        48.0545       -13.79%     16.97%
        -1.6           8793.9804        31.2485        7581.0775        22.0982        10289.590        46.7048       -13.79%     17.01%
        -1.5           8765.3479        27.9711        7566.1857        19.8032        10237.281        41.7497       -13.68%     16.79%
        -1.4           8747.3952        26.3074        7551.1940        18.6558        10217.652        39.3344       -13.67%     16.81%
        -1.3           8680.2552        28.7455        7501.6814        20.4366        10123.943        42.7797       -13.58%     16.63%
        -1.2           8714.5763        29.2619        7527.3698        20.6319        10172.742        44.0563       -13.62%     16.73%
        -1.1           8686.7579        32.3954        7509.7338        22.9193        10127.933        48.3046       -13.55%     16.59%
          -1           8709.9595        27.2491        7524.1020        19.0929        10167.827        41.4793       -13.61%     16.74%
        -0.9           8718.5418        29.1185        7529.4703        20.5839        10180.558        43.5909       -13.64%     16.77%
        -0.8           8622.9652        24.5729        7460.8031        17.4241        10044.126        36.8631       -13.48%     16.48%
        -0.7           8628.3524        25.8771        7462.1815        18.4745        10057.621        38.5391       -13.52%     16.56%
        -0.6           8620.5623        33.4822        7463.5881        23.4427        10031.167        50.5243       -13.42%     16.36%
        -0.5           8567.0976        28.3674        7417.1487        18.0870        9970.7151        43.0107       -13.42%     16.38%
        -0.4           8564.5834        31.0262        7417.3435        21.7476        9963.5253        46.7827       -13.40%     16.33%
        -0.3           8562.9432        25.9187        7414.8832        18.3436        9964.5115        38.8574       -13.41%     16.37%
        -0.2           8574.2934        25.6992        7422.2561        18.2963        9983.3372        38.2947       -13.44%     16.43%
        -0.1           8607.2975        32.6528        7443.6615        22.9534        10035.908        48.9998       -13.52%     16.60%
           0           8585.4253        31.0609        7428.6290        21.8536        10002.620        46.7588       -13.47%     16.51%
         0.1           8585.9341        28.2379        7429.8708        19.8552        10001.758        42.6128       -13.46%     16.49%
         0.2           8571.1324        25.8555        7420.2568        18.2781        9977.5487        38.8304       -13.43%     16.41%
         0.3           8554.2804        30.1760        7410.3623        21.2553        9947.6774        45.3146       -13.37%     16.29%
         0.4           8567.7187        25.6639        7418.7357        18.1897        9970.3377        38.5050       -13.41%     16.37%
         0.5           8602.5261        31.4096        7451.0205        22.0580        10003.998        47.3280       -13.39%     16.29%
         0.6           8631.4416        25.9805        7464.1473        18.5772        10062.677        38.6318       -13.52%     16.58%
         0.7           8634.5110        29.6644        7468.9939        20.9078        10061.262        44.7045       -13.50%     16.52%
         0.8           8725.2449        31.2742        7533.4169        21.7801        10192.394        47.5610       -13.66%     16.81%
         0.9           8695.7122        27.4067        7512.1729        17.1490        10146.838        41.6410       -13.61%     16.69%
           1           8681.1093        29.8015        7505.8325        21.2160        10119.590        44.1528       -13.54%     16.57%
         1.1           8707.3505        26.7367        7519.3227        20.9468        10160.795        39.5045       -13.64%     16.69%
         1.2           8668.7629        29.3051        7493.7173        20.8525        10106.726        43.4882       -13.55%     16.59%
         1.3           8756.6324        26.3649        7557.6924        18.6901        10231.357        39.4525       -13.69%     16.84%
         1.4           8762.9396        30.1361        7564.8409        21.1921        10232.863        45.3017       -13.67%     16.77%
         1.5           8782.9644        28.5012        7573.8677        20.3009        10272.038        42.2549       -13.77%     16.95%
         1.6           8789.1456        29.5769        7580.7946        21.3751        10273.657        43.1801       -13.75%     16.89%
         1.7           8833.5230        31.8779        7605.6690        22.0656        10352.595        48.8760       -13.90%     17.20%
         1.8           8736.1827        27.8271        7537.7155        19.4392        10204.647        42.3039       -13.72%     16.81%
         1.9           8750.3358        26.1811        7542.7062        18.6583        10232.895        39.0289       -13.80%     16.94%
           2           8767.1996        31.2766        7546.9859        21.8062        10272.753        47.4504       -13.92%     17.17%
         2.1           8731.7671        24.0937        7509.8090        17.0181        10242.805        36.2858       -13.99%     17.31%
         2.2           8678.4869        23.3886        7461.9531        16.6414        10183.322        35.0616       -14.02%     17.34%
