#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
          -5           1.1847135       0.308863        1.0309510       0.216048        1.3486346       0.481318       -12.98%     13.84%
        -4.9           3.1571759       0.515950        2.6416593       0.356251        4.0895110       0.735292       -16.33%     29.53%
        -4.8           8.2380584       0.877483        7.3592483       0.606624        9.0630829        1.36625       -10.67%     10.01%
        -4.7           27.692699        1.65143        23.992499        1.14661        32.170336        2.55370       -13.36%     16.17%
        -4.6           62.969175        2.80879        54.674845        1.97623        74.069807        3.92647       -13.17%     17.63%
        -4.5           138.46126        5.21682        119.48198        3.52021        162.23802        8.26848       -13.71%     17.17%
        -4.4           242.43975        5.72407        212.73579        3.94974        276.79271        8.92993       -12.25%     14.17%
        -4.3           408.80574        7.44849        356.30109        5.16999        470.15638        10.7488       -12.84%     15.01%
        -4.2           616.53051        8.79530        541.52622        6.11960        703.75945        13.5269       -12.17%     14.15%
        -4.1           914.14027        9.32728        802.48918        6.60540        1044.8620        14.0983       -12.21%     14.30%
          -4           1250.8879        12.5395        1099.9212        8.75735        1426.1472        19.1728       -12.07%     14.01%
        -3.9           1672.6779        29.9982        1461.0954        20.2597        1928.0084        46.8398       -12.65%     15.26%
        -3.8           2052.5442        15.6616        1805.7103        10.9194        2340.4760        23.9942       -12.03%     14.03%
        -3.7           2520.9267        19.3623        2220.6838        13.4690        2867.6348        29.6292       -11.91%     13.75%
        -3.6           3033.5833        21.2228        2659.8697        14.7399        3476.0274        32.4314       -12.32%     14.58%
        -3.5           3497.9405        23.6725        3070.0085        16.5155        4001.4171        35.9383       -12.23%     14.39%
        -3.4           4013.2456        23.0885        3512.3972        16.0052        4610.5911        35.4796       -12.48%     14.88%
        -3.3           4565.8933        25.4395        3983.3446        17.9476        5268.8387        38.2842       -12.76%     15.40%
        -3.2           5023.7534        24.1245        4384.6357        16.8836        5792.3551        36.6875       -12.72%     15.30%
        -3.1           5510.6728        24.6136        4799.7132        17.3171        6370.7294        37.2358       -12.90%     15.61%
          -3           5942.3257        28.1044        5170.4506        19.4671        6878.2771        43.0438       -12.99%     15.75%
        -2.9           6370.8693        25.9026        5536.6458        18.2874        7385.6102        39.0165       -13.09%     15.93%
        -2.8           6819.6243        25.6388        5910.5500        18.2873        7934.1769        38.0657       -13.33%     16.34%
        -2.7           7102.1754        31.4608        6168.7579        21.9782        8232.2958        47.6757       -13.14%     15.91%
        -2.6           7465.1567        26.3483        6470.1299        18.7698        8678.9923        39.2097       -13.33%     16.26%
        -2.5           7863.1263        26.1540        6795.1837        18.6180        9177.5441        38.9501       -13.58%     16.72%
